[00:01.220 --> 00:04.000]  Reliable controls, Thomas speaking.
[01:55:51.090 --> 01:55:54.270]  Okay, so that's 23.3
[01:55:57.980 --> 01:55:58.620]  plus
[01:56:04.420 --> 01:56:05.290]  21.4
[01:56:08.950 --> 01:56:10.910]  plus 22.6
[01:56:10.910 --> 01:56:14.810]  divided by 3. I get 22.43
[01:56:14.810 --> 01:56:18.870]  repeating. That's exactly what this is. So, that's
[01:56:18.870 --> 01:56:22.690]  perfect. It is, in fact, reading from the other controllers. And we know it writes to the other
[01:56:22.690 --> 01:56:26.570]  controllers, so we're good. Communication between the controllers is good.
[01:56:27.770 --> 01:56:30.730]  So long as there aren't any other programs that refer to panel
[01:56:30.730 --> 01:56:35.070]  one, you shouldn't have any issues there.
[01:56:35.410 --> 01:56:38.790]  So, it looks like all of the other things that refer to panel one are
[01:56:38.790 --> 01:56:40.010]  there.
[01:56:43.950 --> 01:56:47.090]  I don't know how the
[01:56:47.090 --> 01:56:50.910]  web, or the schedule object, weekly schedule object
[01:56:50.910 --> 01:56:53.570]  got put into here. Looks like it worked.
[01:56:54.750 --> 01:56:57.010]  So, yeah, I think it's good.
[01:56:59.790 --> 01:57:00.310]  Cool.
[01:57:03.250 --> 01:57:05.130]  Hello, descriptor. Send the descriptors to
[01:57:05.130 --> 01:57:08.950]  it when it's done. And, yeah, fix the
[01:57:08.950 --> 01:57:11.670]  couple of system group links. Good luck!
[01:57:13.450 --> 01:57:15.350]  Thanks, man. Appreciate it.
[01:57:16.230 --> 01:57:16.310]  Okay, bye.
